Id,Total
1000000US410510005022009,31
1000000US410510005022010,19
1000000US410510005022011,24
1000000US410510005023000,5
1000000US410510005023001,17
1000000US410510005023002,23
1000000US410510005023003,23
1000000US410510005023004,23
1000000US410510005023005,21
1000000US410510005023006,20
1000000US410510005023007,10
1000000US410510005023008,10
1000000US410510005023009,11
1000000US410510005023010,14
1000000US410510005023011,34
1000000US410510005023012,23
1000000US410510005023013,24
1000000US410510005023014,24
1000000US410510005023015,33
1000000US410510005023016,14
1000000US410510005023017,16
1000000US410510005023018,10
1000000US410510005023019,6
1000000US410510005023020,6
1000000US410510005023021,7
1000000US410510005023022,6
1000000US410510005023023,1
1000000US410510005023024,8
1000000US410510005024000,28
1000000US410510005024001,18
1000000US410510005024002,113
1000000US410510005024003,31
1000000US410510005024004,39
1000000US410510005024005,27
1000000US410510005024006,23
1000000US410510005024007,0
1000000US410510005024008,5
1000000US410510005024009,24
1000000US410510005024010,21
1000000US410510005024011,21
1000000US410510005024012,22
1000000US410510005024013,22
1000000US410510005024014,9
1000000US410510005024015,5
1000000US410510005024016,40
1000000US410510005024017,0
1000000US410510005024018,13
1000000US410510005024019,10
1000000US410510005024020,11
1000000US410510005024021,29
1000000US410510005024022,19
1000000US410510005025000,18
1000000US410510005025001,22
1000000US410510005025002,25
1000000US410510005025003,0
1000000US410510005025004,21
1000000US410510005025005,25
1000000US410510005025006,10
1000000US410510005025007,1
1000000US410510005025008,8
1000000US410510005025009,10
1000000US410510005025010,10
1000000US410510005025011,9
1000000US410510005025012,18
1000000US410510005025013,0
1000000US410510005025014,23
1000000US410510005025015,28
1000000US410510005025016,33
1000000US410510005025017,5
1000000US410510005025018,7
1000000US410510005025019,15
1000000US410510005025020,14
1000000US410510005025021,15
1000000US410510005025022,17
1000000US410510005025023,4
1000000US410510005025024,3
1000000US410510005025025,3
1000000US410510006011000,44
1000000US410510006011001,12
1000000US410510006011002,18
1000000US410510006011003,15
1000000US410510006011004,20
1000000US410510006011005,0
1000000US410510006011006,22
1000000US410510006011007,0
1000000US410510006011008,86
1000000US410510006011009,11
1000000US410510006011010,14
1000000US410510006011011,20
1000000US410510006011012,21
1000000US410510006011013,18
1000000US410510006011014,49
1000000US410510006011015,6
1000000US410510006011016,11
1000000US410510006011017,40
1000000US410510006011018,11
1000000US410510006011019,17
1000000US410510006011020,28
1000000US410510006011021,17
1000000US410510006011022,10
1000000US410510006011023,46
1000000US410510006011024,23
1000000US410510006011025,10
1000000US410510006011026,21
1000000US410510006011027,11
1000000US410510006011028,20
1000000US410510006011029,18
1000000US410510006011030,11
1000000US410510006011031,37
1000000US410510006012000,8
1000000US410510006012001,10
1000000US410510006012002,17
1000000US410510006012003,16
1000000US410510006012004,17
