GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1000000US410510002001015,410510002001015,"Block 1015, Block Group 1, Census Tract 2, Multnomah County, Oregon",45
1000000US410510002001016,410510002001016,"Block 1016, Block Group 1, Census Tract 2, Multnomah County, Oregon",17
1000000US410510002001017,410510002001017,"Block 1017, Block Group 1, Census Tract 2, Multnomah County, Oregon",4
1000000US410510002001018,410510002001018,"Block 1018, Block Group 1, Census Tract 2, Multnomah County, Oregon",9
1000000US410510002001019,410510002001019,"Block 1019, Block Group 1, Census Tract 2, Multnomah County, Oregon",10
1000000US410510002001020,410510002001020,"Block 1020, Block Group 1, Census Tract 2, Multnomah County, Oregon",18
1000000US410510002001021,410510002001021,"Block 1021, Block Group 1, Census Tract 2, Multnomah County, Oregon",42
1000000US410510002001022,410510002001022,"Block 1022, Block Group 1, Census Tract 2, Multnomah County, Oregon",22
1000000US410510002001023,410510002001023,"Block 1023, Block Group 1, Census Tract 2, Multnomah County, Oregon",4
1000000US410510002001024,410510002001024,"Block 1024, Block Group 1, Census Tract 2, Multnomah County, Oregon",4
1000000US410510002001025,410510002001025,"Block 1025, Block Group 1, Census Tract 2, Multnomah County, Oregon",19
1000000US410510002001026,410510002001026,"Block 1026, Block Group 1, Census Tract 2, Multnomah County, Oregon",10
1000000US410510002001027,410510002001027,"Block 1027, Block Group 1, Census Tract 2, Multnomah County, Oregon",23
1000000US410510002001028,410510002001028,"Block 1028, Block Group 1, Census Tract 2, Multnomah County, Oregon",20
1000000US410510002002000,410510002002000,"Block 2000, Block Group 2, Census Tract 2, Multnomah County, Oregon",0
1000000US410510002002001,410510002002001,"Block 2001, Block Group 2, Census Tract 2, Multnomah County, Oregon",0
1000000US410510002002002,410510002002002,"Block 2002, Block Group 2, Census Tract 2, Multnomah County, Oregon",0
1000000US410510002002003,410510002002003,"Block 2003, Block Group 2, Census Tract 2, Multnomah County, Oregon",20
1000000US410510002002004,410510002002004,"Block 2004, Block Group 2, Census Tract 2, Multnomah County, Oregon",50
